,precision,recall,f1-score,support
0,0.8831258644536653,0.8843490304709142,0.8837370242214533,1444.0
1,0.7927332782824112,0.8275862068965517,0.8097849008857022,1160.0
2,0.9517884914463453,0.8793103448275862,0.9141150112023898,696.0
accuracy,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333
macro avg,0.875882544727474,0.8637485273983506,0.8692123121031817,3300.0
weighted avg,0.8658330730682866,0.8633333333333333,0.8641487260000171,3300.0
